# time (fm/c), energy density (GeV/fm^3)
0.0000,0.0000
0.1111,0.0000
0.2222,50.4205
0.3333,29.4181
0.4444,20.8121
0.5556,16.1102
0.6667,13.1438
0.7778,11.1009
0.8889,9.6081
1.0000,8.4694
